name,industry,handle,tweet_endorsing,Number of Twitter followers,Date of statement,username
LeBron James,athlete,@KingJames,,41.3 M,10/2/16,KingJames
Katy Perry,singer,@katyperry,https://twitter.com/katyperry/status/609748370534436864?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.washingtonpost.com%2Fnews%2Fthe-fix%2Fwp%2F2015%2F06%2F15%2Fsome-of-the-pop-stars-who-tweeted-about-hillarys-launch-are-a-little-well-yesterday%2F&tfw_creator=hunterschwarz&tfw_site=WashingtonPost,69.1 M,6/13/15,katyperry
Beyonce,singer,@beyonce,,15.2 M,11/4/16,beyonce
Jaime King,acrtess,@Jaime_King,https://twitter.com/jaime_king/status/740369512818581504?lang=en,238 K,6/7/16,Jaime_King
Barbra Streisand,singer,@barbraStreisand,https://twitter.com/BarbraStreisand/status/609753871825637376?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.washingtonexaminer.com%2Fbarbra-streisand-urges-hillary-supporters-what-are-you-waiting-for&tfw_creator=SecretsBedard&tfw_site=DCExaminer,515 K,6/13/15,barbraStreisand
Mariah Carey,singer,@MariahCarey,https://twitter.com/mariahcarey/status/609751538865602560?lang=en,21 M,6/13/15,MariahCarey
Cloey Grace Moretz,actress,@ChloeGMoretz,https://twitter.com/chloegmoretz/status/609762339844272129?lang=en,3.27 M,6/13/15,ChloeGMoretz
Debra Messing,actress,@DebraMessing,,482 K,9/26/16,DebraMessing
Kendall Jenner,model,@KendellJenner,https://twitter.com/KendallJenner/status/700374837517090817?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.cnn.com%2F2016%2F02%2F18%2Fpolitics%2Fkendall-jenner-endorses-hillary-clinton%2Findex.html,26.6 M,2/18/16,KendellJenner
Lena Dunham,actress,@lenadunham,https://twitter.com/lenadunham/status/780598372503871488?lang=en,22.4 K,4/16/16,lenadunham
Lady Gaga,Singer,@ladygaga,https://twitter.com/ladygaga/status/740257840330215424?lang=en,77.8 M,10/6/16,ladygaga
Leonardo DiCapario,actor,@LioDiCapario,https://twitter.com/leodicaprio/status/759056145843687424?lang=en,19.3 M,10/7/16,LioDiCapario
Kerry Washington,acrtress,@kerrywashington,https://twitter.com/kerrywashington/status/795431335028408322,5.3 M,3/10/16,kerrywashington
Shonda Rhimes,actress,@shondarhimes,https://twitter.com/shondarhimes/status/780597999428706305?lang=en,1.7 M,3/10/16,shondarhimes
Kareem Abdul-Jabbar,athlete,@kaj33,https://twitter.com/kaj33/status/755798219490103296?lang=en,2.19 M,4/15/16,kaj33
Julianne Moore,actress,@_juliannemoore,https://twitter.com/_juliannemoore/status/692020507043065856,877 K,1/26/16,_juliannemoore
Pharell Williams,singer,@Pharrell,,10.9 M,10/12/15,Pharrell
Beth Behrs,actress,@BethBehrs,https://twitter.com/BethBehrs/status/791111445287100416,324 K,10/25/16,BethBehrs
America Ferrera,actress,@AmericaFerrera,https://twitter.com/americaferrera/status/720723015642644481,204K,12/6/17,AmericaFerrera
Tony Goldwyn,actor,@tonygoldwyb,https://twitter.com/tonygoldwyn/status/702026945320472578,528 K,2/22/16,tonygoldwyb
John Legend,singer,@johnlegend,https://twitter.com/johnlegend/status/740448027043897345,12.1 M,6/8/16,johnlegend
Cher,singer,@cher,https://twitter.com/cher/status/716343695633592320?lang=en,3.58 M,4/2/16,cher
George Clooney,actor,@GeorgeClooney,,148 K,3/21/16,GeorgeClooney
Connie Britton,actress,@conniebritton,https://twitter.com/conniebritton/status/734032459734601728?lang=en,241K,5/21/16,conniebritton
Jennifer Lopez,singer,@JLo,,45.4K,11/6/16,JLo
Carole King,singer,@Carole_King,,86.1 K,7/27/16,Carole_King
Steve Harvey,comedian,@AmSteveHarvey,https://twitter.com/iamsteveharvey/status/702570919827353600,3.87 M,3/1/16,AmSteveHarvey
Any Schumer,comedian,@amyschumer,https://twitter.com/amyschumer/status/641426213718896640?lang=en,4.73 M,7/26/16,amyschumer
Madonna,singer,@Madonna,https://twitter.com/madonna/status/574635781693833216?lang=en,2.23 M,3/8/15,Madonna
Lee Daniels,producer,@leedaniels,,158 K,10/8/16,leedaniels
Taraji Henson,actress,@TherealTaraji,,5.32 M,10/8/16,TherealTaraji
Sigourney Weaver,actress,@realsigourney,,14.8 K,7/27/16,realsigourney
Star Jones,lawyer,@StarJonesEsq,https://twitter.com/starjonesesq/status/755849023483850752,201 K,7/27/16,StarJonesEsq
Elizabeth Banks,actress,@elizabethbanks,https://twitter.com/elizabethbanks/status/758134742415925248?lang=en,2.35 M,6/26/16,elizabethbanks
Demi Lovato,singer,@ddlovato,https://twitter.com/justcatchmedemi/status/971771946240266240 ,56.4 M,6/25/16,ddlovato
Sarah Silverman,comedian,@SarahKSilverman,,12.8 M,6/25/16,SarahKSilverman
Barack Obama,politician,@BarackObama,https://twitter.com/potus44/status/789096632537055232?lang=en,102 M,6/9/16,BarackObama
Elizabeth Warren,politician,@elizabethforma,https://twitter.com/elizabethforma/status/788932359529766912?lang=en,2.04 M,6/9/16,elizabethforma
Uzo Aduba,actress,@UzoAduba,https://twitter.com/uzoaduba/status/587355572648816641,492 K,4/12/15,UzoAduba
Ja Rule,singer,@RuleYork,https://twitter.com/ruleyork/status/726814179311628288,228 K,5/8/15,RuleYork
Abby Wambach,athlete,@abbywambach,https://twitter.com/abbywambach/status/715642538561024000?lang=bg,680 K,3/31/16,abbywambach
Kim Kardashian,TV personality,@KimKardashian,https://twitter.com/kimkardashian/status/629502260607725569?lang=en,59.6 M,8/6/15,KimKardashian
Abbi Jacobson,comedian,@abbijacobson,https://twitter.com/abbijacobson/status/587385950801629184,289 K,4/12/15,abbijacobson
Magic Johnson,athlete,@MagicJohnson,https://twitter.com/magicjohnson/status/587360411437158402,4.68 M,4/12/15,MagicJohnson
Salma Hayek,actress,@SalmaHayek,https://twitter.com/salmahayek/status/720410176814092288?lang=en,258 K,4/13/16,SalmaHayek
Bruce Springsteen,singer,@springsteen,https://twitter.com/springsteen/status/795821377261604865?lang=en,1.16 M,11/7/16,springsteen
